Номер;Тип;Модель;Типоразмер;Диаметр ММ;Производительность м3/с;Давление(па);Мощность(ВТ);Уровень шума;Цена в рублях;nominal_rpm;pressure_coefficients;efficiency_coefficients;Num;h ed;D;D1;d;n;L;L1 max;L2;l;b;d1;B;H1;H
V13-284-6.3-6-15-6.371A6;Осевой;ВО 13-284-6/15°-6,3-71A6;71A6;635;0.73 - 1.80;72 - 30;370;-;-;880;-;-;6;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-6-20-6.371A6;Осевой;ВО 13-284-6/20°-6,3-71A6;71A6;635;0.91 - 2.20;81 - 41;370;-;-;880;-;-;6;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-6-25-6.371A6;Осевой;ВО 13-284-6/25°-6,3-71A6;71A6;635;1.70 - 2.60;88 - 55;370;-;-;880;-;-;6;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-6-15-6.371B4;Осевой;ВО 13-284-6/15°-6,3-71B4;71B4;635;1.10 - 2.90;170 - 65;750;-;-;1370;-;-;6;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-6-20-6.371B4;Осевой;ВО 13-284-6/20°-6,3-71B4;71B4;635;1.40 - 3.50;190 - 95;750;-;-;1370;-;-;6;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-6-25-6.371B4;Осевой;ВО 13-284-6/25°-6,3-71B4;71B4;635;2.00 - 3.90;205 - 125;750;-;-;1370;-;-;6;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-6-30-6.380A4;Осевой;ВО 13-284-6/30°-6,3-80A4;80A4;635;2.70 - 4.40;215 - 155;1100;-;-;1370;-;-;6;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-6-20-6.3100L2;Осевой;ВО 13-284-6/20°-6,3-100L2;100L2;635;4.30 - 7.70;695 - 480;5500;-;-;2840;-;-;6;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-8-20-6.371A6;Осевой;ВО 13-284-8/20°-6,3-71A6;71A6;635;1.00 - 2.30;95 - 45;370;-;-;880;-;-;8;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-8-25-6.371A6;Осевой;ВО 13-284-8/25°-6,3-71A6;71A6;635;1.30 - 2.70;110 - 62;370;-;-;880;-;-;8;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-8-30-6.371A6;Осевой;ВО 13-284-8/30°-6,3-71A6;71A6;635;1.90 - 3.00;113 - 74;370;-;-;880;-;-;8;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-8-20-6.371B4;Осевой;ВО 13-284-8/20°-6,3-71B4;71B4;635;1.60 - 3.60;215 - 100;750;-;-;1370;-;-;8;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-8-25-6.380A4;Осевой;ВО 13-284-8/25°-6,3-80A4;80A4;635;1.90 - 4.20;245 - 140;1100;-;-;1370;-;-;8;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-8-30-6.380B4;Осевой;ВО 13-284-8/30°-6,3-80B4;80B4;635;2.80 - 4.60;250 - 165;1500;-;-;1370;-;-;8;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-10-20-6.371A6;Осевой;ВО 13-284-10/20°-6,3-71A6;71A6;635;1.10 - 2.40;102 - 48;370;-;-;880;-;-;10;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-10-25-6.371A6;Осевой;ВО 13-284-10/25°-6,3-71A6;71A6;635;1.30 - 2.80;113 - 68;370;-;-;880;-;-;10;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-10-30-6.371B6;Осевой;ВО 13-284-10/30°-6,3-71B6;71B6;635;1.90 - 3.00;121 - 77;550;-;-;880;-;-;10;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-10-20-6.371B4;Осевой;ВО 13-284-10/20°-6,3-71B4;71B4;635;1.60 - 3.70;235 - 110;750;-;-;1370;-;-;10;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-10-25-6.380A4;Осевой;ВО 13-284-10/25°-6,3-80A4;80A4;635;2.00 - 4.40;275 - 150;1100;-;-;1370;-;-;10;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-6.3-10-30-6.380B4;Осевой;ВО 13-284-10/30°-6,3-80B4;80B4;635;2.80 - 4.70;280 - 175;1500;-;-;1370;-;-;10;63 - 132;635;670;10;16;385;580;325;30;500;15;705;725;370
V13-284-7.1-4-15-7.180A6;Осевой;ВО 13-284-4/15°-7,1-80A6;80A6;720;0.90 - 2.60;70 - 30;750;-;-;910;-;-;4;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-4-20-7.180A6;Осевой;ВО 13-284-4/20°-7,1-80A6;80A6;720;1.30 - 3.00;80 - 45;750;-;-;910;-;-;4;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-4-25-7.180A6;Осевой;ВО 13-284-4/25°-7,1-80A6;80A6;720;1.90 - 3.50;85 - 60;750;-;-;910;-;-;4;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-4-30-7.180A6;Осевой;ВО 13-284-4/30°-7,1-80A6;80A6;720;2.70 - 3.90;90 - 75;750;-;-;910;-;-;4;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-4-15-7.180A4;Осевой;ВО 13-284-4/15°-7,1-80A4;80A4;720;1.40 - 3.80;160 - 70;1100;-;-;1370;-;-;4;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-4-20-7.180A4;Осевой;ВО 13-284-4/20°-7,1-80A4;80A4;720;2.00 - 4.50;185 - 100;1100;-;-;1370;-;-;4;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-4-25-7.180B4;Осевой;ВО 13-284-4/25°-7,1-80B4;80B4;720;2.90 - 5.20;195 - 135;1500;-;-;1370;-;-;4;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
